"","variablename","collunitid","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment","family","genus","species","REGION"
"2109203","Apiaceae","28183",174,"Calibrated radiocarbon years BP",407,-30,24722,"Giesecke et al. 2014 (MADCAP)","NISP",3,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",252644,"Lotter, André F.","317337",0,NA,NA,"40627","European Pollen Database","pollen",12533,134,"Data contributed by Lotter André F.","2964","Aegelsee",46.64583,7.54333,NA,NA,"Raised bog with small lake.",989,"AE3",1986-01-01,NA,NA,NA,"Modified Livingstone 4.8 cm diameter.",24721,NA,"Raised Bog","Apiaceae",NA,NA,"Europe"
"1782371","Amaranthaceae","3740",0,"Radiocarbon years BP",NA,NA,29887,"Fossilva","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",46427,"Birks, Hilary H.","395555",0,NA,NA,"3864","European Pollen Database","pollen",11700,0,"Data contributed by Birks Hilary H.","2965","Abernethy Forest",57.23528,-3.71056,NA,NA,"Peat hollow in a small clearing of pine. Physiography: shallow valley in hummocky morraine. Surrounding vegetation: mire surrounded by Pinus woods + Betula.",221,"AF1970",1966-01-01,NA,NA,NA,"Livingstone (Wright 1967)",29887,NA,"Valley Mire","Amaranthaceae",NA,NA,"Europe"
"459272","Artemisia","3742",1247,"Calibrated radiocarbon years BP",1663,840,30811,"Giesecke et al. 2014 (MADCAP)","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",46517,"Vasari, Annikki","412859",1050,NA,NA,"3866","European Pollen Database","pollen",11552,1480,"Data contributed by Vasari, Annikki.","2966","Aholammi",61.8947,25.21692,NA,NA,"Lake with mesic forest. Physiography: hilly morainic country. Surrounding vegetation: mesic spruce forest.",114,"AHOLAMMI",1984-04-01,"Deepest point in the lake",10.5,NA,"Russian sampler (5cm)",30809,NA,"Natural Lake","Asteraceae","Artemisia",NA,"Europe"
"1718208","Amaranthaceae","3743",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",46568,"de Beaulieu, Jacques Louis","378024",60,NA,NA,"3867","European Pollen Database","pollen",NA,NA,"Data contributed by de Beaulieu Jacques Louis.","2967","Aiguillettes des Ouches",45.92333,6.80944,NA,"area with several lakes and bogs.","little lake. Physiography: larg cirquein mountain. Surrounding vegetation: herb.",2210,"AIG_HOU",1982-01-01,"in bog",NA,NA,"Russian corer",NA,NA,"Cirque Lake","Amaranthaceae",NA,NA,"Europe"
"4832209","Ericales","40388",NA,NA,NA,NA,NA,NA,"NISP",5,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457328,"NA","583366",790,NA,NA,"56302","European Pollen Database","pollen",NA,NA,NA,"29677","Noordzee Fugro P13/9",52.22083,3.08722,NA,"Data have been published, but also mentioned in an unpublished report by the Rijks Geologische Dienst (RGD, p. 769). ","A core collected in the Dutch part of the North Sea, near the brown bank formation. ",-32,"FUP13_9",1974-05-26,NA,NA,NA,"Steekboring, pulsboring",NA,NA,"Marine",NA,NA,NA,"Europe"
"1748443","Amaranthaceae","3744",2358,"Calibrated radiocarbon years BP",3062,1695,30624,"Giesecke et al. 2014 (MADCAP)","NISP",57,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",46591,"Yll, Errikarta Imanol","411696",100,NA,NA,"3868","European Pollen Database","pollen",8961,2262,"Data contributed by Yll Errikarta Imano to the EPD.","2968","Algendar",39.94056,3.95861,NA,"close to archaeological sites.","South coast of Minorca Island. Physiography: littoral core. Surrounding vegetation: Quercus ilex.",21,"ALGENDAR",NA,"Lagoons",NA,NA,"Industrial and rotary corers",30623,NA,"Coastal","Amaranthaceae",NA,NA,"Europe"
"4831843","Ericales","40575",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457815,"NA","584426",2220,NA,NA,"56505","European Pollen Database","pollen",NA,NA,NA,"29685","Noordzee Fugro P5B",52.75,3.41667,NA,"Data have also been mentioned in an unpublished report by the Rijks Geologische Dienst (RGD, P. 560). ","A core from the Dutch part of the North sea containing Eemian material. ",-34,"FUGP5B",1970-02-01,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
"4832094","Ericales","40576",NA,NA,NA,NA,NA,NA,"NISP",28,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457830,"NA","584440",12140,NA,NA,"56506","European Pollen Database","pollen",NA,NA,NA,"29686","St. Odilienberg II (B60B0064)",51.13405,5.98154,NA,"Data have not been published, only mentioned in a report by the Rijks Geologische Dienst (RGD, P. 735).
See also: dinoloket.nl/ondergrondgegevens under corenumber B60B0064.","A core collected near the village of Sint Odilienberg (Limburg, the Netherlands) containing Pliocene material. ",29,"ODILIB",1973-11-01,NA,NA,NA,"Luchtliftboring",NA,NA,"Terrestrial",NA,NA,NA,"Europe"
"4833183","Ericales","40577",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457842,"NA","584447",9910,NA,NA,"56507","European Pollen Database","pollen",NA,NA,NA,"29687","Noordzee N.I.O.Z. TP.3",58.36972,0.07444,NA,"Data have not been published, only mentioned in a report by the Rijks Geologische Dienst. ","Part of a series of four cores collected from the British part of the North sea around a texaco platform. The core contains Pliocene material. ",-140,"NIOZTP3",NA,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
"4831975","Ericales","40578",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457860,"NA","584462",3475,NA,NA,"56508","European Pollen Database","pollen",NA,NA,NA,"29688","Wolvega (B16B0050)",52.87035,5.99685,NA,"See also: dinoloket.nl/ondergrondgegevens under corenumber B16B0050","A core taken from the village of Wolvega as a part of a study on the Cromerian stage. ",1,"WOLVEG",1966-11-01,NA,NA,NA,"Unknown",NA,NA,"Fluvial",NA,NA,NA,"Europe"
"4832567","Ericales","40579",NA,NA,NA,NA,NA,NA,"NISP",3,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457875,"NA","584485",10260,NA,NA,"56509","European Pollen Database","pollen",NA,NA,NA,"29689","Oostvaardersdiep (B26A0028)",52.41998,5.22808,NA,"Data have not been published, only mentioned in a report by the Rijks Geologische dienst (rapport P. 443 & 1221).
See also: dinoloket.nl/ondergrondgegevens under corenumber B26A0028.","Pumpwell in the work-island in the Oostvaardersdiep (IJsselmeerpolders). ",2,"OOSTVA",1963-08-01,NA,NA,NA,"Unknown",NA,NA,"Unknown",NA,NA,NA,"Europe"
"346591","Cichorioideae","3745",1003,"Calibrated radiocarbon years BP",1425,609,26702,"Giesecke et al. 2014 (MADCAP)","NISP",2,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",46728,"de Beaulieu, Jacques Louis","361965",35,NA,NA,"3869","European Pollen Database","pollen",12950,609,"Data contributed by de Beaulieu Jacques Louis to the EPD.","2969","Plan du Laus",44.24167,6.70222,NA,NA,"Meandring stream in a flat meadow. Physiography: glacial depression. Surrounding vegetation: larch on rocky slopes.",2121,"ALLOS",1972-07-01,"Eastern part of the meadows",0,NA,"Hiller corer 4 cm diameter.",26701,NA,"Mire","Asteraceae",NA,NA,"Europe"
"4834697","Ericales","40580",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457891,"NA","584504",3490,NA,NA,"56510","European Pollen Database","pollen",NA,NA,NA,"29690","Rhenen, Pit Kwintelooijen 39E/185",51.99193,5.5459,NA,"See also: dinoloket.nl/ondergrondgegevens under corenumber B39E0185.","Core from a 70 m deep bailer hole at the bottom of Pit Kwintelooijen to obtain information on the depth of glacio-tectonic disturbance and on the underlying undisturbed beds. ",11,"39E185",1980-04-01,NA,NA,NA,"Pulsboring",NA,NA,"Glacial",NA,NA,NA,"Europe"
"4675033","Amaranthaceae undiff.","297",0,"Radiocarbon years BP",NA,NA,130,"COHMAP chron 1","NISP",2,NA,"pollen",54,NA,"Vascular plants","pollen","UPHE",4208,"Lamb, Henry F.","5994",1380,NA,NA,"303","North American Pollen Database","pollen",6777,0,NA,"297","Border Beacon",55.33333,-63.2,NA,NA,"Kettle lake. Physiography: glacial outwash plain. Surrounding vegetation: tundra with scattered white spruce.",470,"BORDER",NA,"small basin",13.8,NA,"Livingstone corer (5cm)",130,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"North America"
"1793426","Amaranthaceae","3746",46,"Calibrated radiocarbon years BP",215,-192,30608,"Giesecke et al. 2014 (MADCAP)","NISP",24,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",46798,"Mariscal Alvarez, Blanca","410878",30,NA,NA,"3870","European Pollen Database","pollen",4310,-9,"Data contributed by Mariscal Blanca to the EPD.","2970","Alsa",43.11778,-4.01667,NA,NA,"Peat bog. Physiography: the peat is situated on Trias. Surrounding vegetation: Ericaceae-Coniferous forest.",560,"ALSA",1983-01-01,"North side of Portillo Jumedre",NA,NA,"Unspecified device",30607,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"4832299","Ericales","40621",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457953,"NA","584558",275,NA,NA,"56551","European Pollen Database","pollen",NA,NA,NA,"29701","Pit Kwintelooijen section I",51.99148,5.5459,NA,NA,"This core is a part of an pollen analysis on two sandpits on the eastern side of the Utrechtse Heuvelrug (Pit Kwntelooijen). The study is on the ice-pushed sediments found here.",22,"KWINTI",NA,NA,NA,NA,"Unknown",NA,NA,"Glacial",NA,NA,NA,"Europe"
"4834329","Ericales","40622",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",457988,"NA","584593",1428,NA,NA,"56552","European Pollen Database","pollen",NA,NA,NA,"29702","Maasvlakte core 6119",51.96746,4.01932,NA,"Data have not been published, only mentioned in a report by the Rijks Geologische Dienst (RGD, rapport P. 452).","A core collected in the outlet of the river Meuse near Rotterdam. ",-10,"MV6119",1962-12-01,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
"3750727","Hedera","40623",8059,"Calibrated radiocarbon years BP",8321,7641,39692,"Chron1","NISP",2,NA,"pollen",2684,NA,"Vascular plants","pollen","TRSH",457994,"NA","584600",1020,NA,NA,"56554","European Pollen Database","pollen",11846,7641,NA,"29703","Berkenwoude 38A0239",51.94761,4.71566,NA,"Data have not been published only mentioned in a report by the Rijks Geologische Dienst (RGD, rapport P. 888 & 888A).
See also: dinoloket.nl/ondergrondgegevens under corenumber B38A0239.","This core has been collected as part to map area 38 of the Netherlands. Core goes up to 68.42 m but only the part between 10.20 m and 16.45 m has been analysed for pollen.",-2,"38A0239",1979-12-01,NA,NA,NA,"Pulsboring",39692,NA,"Fluvial","Araliaceae","Hedera",NA,"Europe"
"2164945","Apiaceae","3747",164,"Calibrated radiocarbon years BP",607,-15,28982,"Giesecke et al. 2014 (MADCAP)","NISP",4,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",46822,"Clerc, Jeanine","376851",1,NA,NA,"3871","European Pollen Database","pollen",10900,27,"Data contributed by Clerc Jeanine to the EPD.","2971","Hières sur Amby",45.79083,5.28333,NA,NA,"lake. Physiography: depression in Würmian moraine. Surounding vegetation: cultivated field with reforested Populus zones.",227,"AMBY86",1986-01-01,"east border of the lake",NA,NA,"Hiller corer",28981,NA,"Bog","Apiaceae",NA,NA,"Europe"
"1725232","Amaranthaceae","3748",893,"Calibrated radiocarbon years BP",1314,434,27803,"Giesecke et al. 2014 (MADCAP)","NISP",3,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47003,"de Beaulieu, Jacques Louis","372820",60,NA,NA,"3872","European Pollen Database","pollen",12586,434,"Data contributed by de Beaulieu Jacques Louis to the EPD","2972","Ampoix",45.63333,2.93333,NA,NA,"Mire. Physiography: Explosion crater (maar). Surrounding vegetation: Meadows.",1015,"AMPOIX",1985-01-01,"centre of the mire",9.62,NA,"Russian corer 5 cm diameter.",27802,NA,"Mire","Amaranthaceae",NA,NA,"Europe"
"2135268","Apiaceae","3751",602,"Radiocarbon years BP",NA,NA,1516,"EPD default","NISP",2,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",47170,"Lotter, André F.","64650",220,NA,NA,"3875","European Pollen Database","pollen",38600,602,"Pollen nomenclature: Welten (1982).","2973","Amsoldingersee",46.725,7.575,NA,NA,"Lake surrounded by fields and meadows. Surrounding vegetation: agricultural landscape.",641,"AMSOPO3",NA,NA,NA,NA,"Livingstone (5cm)",1516,NA,"Glacial Origin Lake","Apiaceae",NA,NA,"Europe"
"1759907","Amaranthaceae","3752",208,"Calibrated radiocarbon years BP",280,140,32188,"Giesecke et al. 2014 (MADCAP)","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47222,"Kvavadze, Eliso V.","423471",5,NA,NA,"3876","European Pollen Database","pollen",2500,225,"Data contributed by Kvavadze Eliso V. to the EPD.","2974","Amtkel 1",43.28333,41.29167,NA,"Mountain pass Amtkell is in Western part of Chkhaltian ridge.","Bottom of the trough valley on Amtkel mn. Physiography: toe of slope foot of morainic ridge. Surrounding vegetation: subalpine foot of morainic ridge.",1860,"AMTKEL1",1985-08-01,"Northern part of morainic ridge",1.33,NA,"Spade 10 cm diameter.",32187,NA,"Fluvial","Amaranthaceae",NA,NA,"Europe"
"1755246","Amaranthaceae","3753",194,"Calibrated radiocarbon years BP",291,95,32186,"Giesecke et al. 2014 (MADCAP)","NISP",3,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47246,"Kvavadze, Eliso V.","423457",3,NA,NA,"3877","European Pollen Database","pollen",2955,95,"Data contributed by Kvavadze Eliso V. to the EPD.","2975","Amtkel 2",43.29167,41.28417,NA,"Section is northeasst of section AMTKEL1 on the Sqame Pass.","Bottom of old trough. Physiography: depression between morenic ridges. Surrounding vegetation: subalpine beech elfin woodland.",1850,"AMTKEL2",1985-08-01,"Southern part of morainic ridge",0.4,NA,"Spade 10 cm diameter.",32185,NA,"Fluvial","Amaranthaceae",NA,NA,"Europe"
"1793064","Amaranthaceae","3754",356,"Calibrated radiocarbon years BP",390,323,32184,"Giesecke et al. 2014 (MADCAP)","NISP",15,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47255,"Kvavadze, Eliso V.","423448",5,NA,NA,"3878","European Pollen Database","pollen",2400,307,"Data contributed by Kvavadze Eliso V. to the EPD.","2976","Amtkel 3",43.26667,41.29167,NA,"The section is situated east of AMTKEL1 nearer the the River Amtkel.","Slope of the old glacial trough. Physiography: depression between the morains. Surrounding vegetation: subalpine beech elfin woodland.",1860,"AMTKEL3",1985-08-01,"Central part of depression between morains",0.59,NA,"Spade 10 cm diameter.",32183,NA,"Fluvial","Amaranthaceae",NA,NA,"Europe"
"4843375","Ericales","3755",-19,"Calibrated radiocarbon years BP",83,-119,29881,"Giesecke et al. 2014 (MADCAP)","NISP",2,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",47263,"Birks, Hilary H.","395484",0,NA,NA,"3879","European Pollen Database","pollen",22942,-119,"Data contributed by Birks Hilary H.","2977","Allt na Feithe Sheilich",57.31333,-3.90841,NA,NA,"Eroding blanket bog. Physiography: watershed plateau. Surrounding vegetation: calluneto-Eriophoretum (McKean, 1962).",595,"ANFSHEIL",1966-06-01,"N. of Carn nam bain-tighearn",NA,NA,"Spade",29880,NA,"Blanket Bog",NA,NA,NA,"Europe"
"1740256","Amaranthaceae","3756",964,"Calibrated radiocarbon years BP",1195,733,30536,"Giesecke et al. 2014 (MADCAP)","NISP",335,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47312,"Pantaléon-Cano, José","406761",10,NA,NA,"3880","European Pollen Database","pollen",8855,1113,"Data contributed by Pantaléon-Cano José to the EPD.","2978","Antas",37.20833,-1.82361,NA,NA,"Sea shore. Physiography: Flat. Surrounding vegetion: cultivated fields and urban area.",0,"ANTAS",1994-01-01,"NE of Almeria, 1km from Puerto Rey beach",0,NA,"Industrial corer 10 cm diameter.",30535,NA,"Coastal","Amaranthaceae",NA,NA,"Europe"
"4838448","Ericales","3757",2396,"Calibrated radiocarbon years BP",2912,1839,32321,"Giesecke et al. 2014 (MADCAP)","NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",47507,"Shotton, F. W.","428008",410,2,NA,"3882","European Pollen Database","pollen",13487,1839,"Data contributed by Leili Saarse.","2979","Åntu Sinijarv",59.0608,26.24178,NA,NA,"Lake, spring-fed, closed, thin fen margi. Physiography: Near esker ridge on Pandivere uplands. Surrounding vegetation: Pine and  Corylus, Betula and Alnus rare,.",95,"ANTU",1988-06-01,"Southern part of modern lake",4,NA,"Russian corer 8 cm diameter.",32319,NA,"Glacial Origin Lake",NA,NA,NA,"Europe"
"2114166","Apiaceae","298",0,"Radiocarbon years BP",NA,NA,131,"COHMAP chron 1","NISP",1,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",4235,"Bryant, Vaughn M., Jr.","6032",5,NA,NA,"304","North American Pollen Database","pollen",16201,0,"Counts at 475 and 505 cm for Alnus and Picea appeared to be reversed. Picea counts were under Alnus category and vice-versa. The Delcourt's varlist was used to decipher taxon code ambiguities.","298","Boriack Bog",30.36,-97.12611,NA,NA,"Small bog. Physiography: rolling topography. Surrounding vegetation: Ilex/Myrica/Quercus/Woodwardia/Osmunda.",143,"BORIACKB",1969-01-01,"near center",0,NA,"Hiller corer",131,NA,"Mire","Apiaceae",NA,NA,"North America"
"5170696","Alisma","3759",45,"Calibrated radiocarbon years BP",98,-7,25714,"Giesecke et al. 2014 (MADCAP)","NISP",16,NA,"pollen",513,NA,"Vascular plants","pollen","AQVP",47612,"Bozilova, Elisaveta D. B.","352426",108,NA,NA,"3884","European Pollen Database","pollen",6284,544,"Data contributed by Bozilova Elisaveta D. B.","2980","Arkutino Lake",42.329472,27.724032,NA,NA,"Lake.",0,"AR2",1982-10-01,"Central part of the lake",1.05,NA,"Russion sampler 2.5 cm diameter.",25712,NA,"Lacustrine","Alismataceae","Alisma",NA,"Europe"
"2164447","Apiaceae","40755",8151,"Calibrated radiocarbon years BP",8295,7966,39818,"Revelles et al. (2023)","NISP",8,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",458939,"NA","609617",670,1,"PdP-5/73","57546","European Pollen Database","pollen",13966,7966,NA,"29810","Pla de les Preses",42.15694,2.4574,NA,NA,"Former lacustrine. Physiography: plain in basin. Surrounding vegetation: crop fields and Quercus forest.",458,"PDP",2014-12-15,"Lowest part of the Vall d'en Bas valley",NA,NA,"Mechanical rotary drilling machine (TP-50/D)",39818,NA,"Lava Flow Dammed Lake","Apiaceae",NA,NA,"Europe"
"5699580","Ericales undiff.","40761",NA,NA,NA,NA,NA,NA,"NISP",4,NA,"pollen",849,NA,"Vascular plants","pollen","TRSH",459936,"NA","585265",175,NA,NA,"56702","European Pollen Database","pollen",NA,NA,NA,"29816","Heereven 2 bij Siebengewald",51.63398,6.09137,NA,"Data have not been published. ","Core on a peat layer in the Heereven near the village Siebengewald. Core has been taken from a lake containing fluvial sediments.",16,"HEERV2",1976-08-10,NA,NA,NA,"Large Dachnowsky-sonde",NA,NA,"Fluvial",NA,NA,NA,"Europe"
"1717467","Amaranthaceae","40762",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",459953,"NA","585276",70,NA,NA,"56703","European Pollen Database","pollen",NA,NA,NA,"29817","Andijk GK3",52.73619,5.23493,NA,"The data has not been published.","The Andijk GK3 core has been taken in the polder Het Grootslag.",-2,"ANDGK3",1954-04-01,NA,NA,NA,"Unknown",NA,NA,"Marine","Amaranthaceae",NA,NA,"Europe"
"1769908","Amaranthaceae","40763",NA,NA,NA,NA,NA,NA,"NISP",4,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",459957,"NA","585284",52,NA,NA,"56704","European Pollen Database","pollen",NA,NA,NA,"29818","Andijk GP10c",52.73612,5.2364,NA,"The data has not been published.","The Andijk GP10c core has been taken in the polder Het Grootslag.",-2,"AGP10C",1954-04-01,NA,NA,NA,"unknown",NA,NA,"Marine","Amaranthaceae",NA,NA,"Europe"
"1742883","Amaranthaceae","40764",NA,NA,NA,NA,NA,NA,"NISP",12,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",459961,"NA","585288",40,NA,NA,"56705","European Pollen Database","pollen",NA,NA,NA,"29819","Andijk GP18d",52.73548,5.23558,NA,"The data has not been published.","The Andijk GP18d core has been taken in the polder Het Grootslag.",-2,"AGP18D",1954-04-01,NA,NA,NA,"unknown",NA,NA,"Marine","Amaranthaceae",NA,NA,"Europe"
"1785502","Amaranthaceae","3761",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47729,"David, Fernand","378783",110,NA,NA,"3886","European Pollen Database","pollen",NA,NA,"Data contributed by David Fernand to the EPD.","2982","Plan Dechaud",45.56722,6.83083,NA,NA,"Lake. Physiography: rounded top in mountain. Surrounding vegetation: herb, rare Larix,Pinus cemb/unic.",2175,"ARC",NA,"in the bog",NA,NA,"Russian corer, diametre: 7 cm",NA,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"1717945","Amaranthaceae","40766",NA,NA,NA,NA,NA,NA,"NISP",42,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",460005,"NA","585301",725,NA,NA,"56707","European Pollen Database","pollen",NA,NA,NA,"29820","Hoogkarspel",52.69676,5.24402,NA,NA,"The Hoogkarspel dataset is part of the Stiboka soil mapping project.",-1,"HOOGKR",1959-06-17,NA,NA,NA,"Unknown",NA,NA,"Terrestrial","Amaranthaceae",NA,NA,"Europe"
"1998444","Alismataceae","3762",725,"Calibrated radiocarbon years BP",1119,314,29199,"Giesecke et al. 2014 (MADCAP)","NISP",1,NA,"pollen",1177,NA,"Vascular plants","pollen","AQVP",47751,"Gauthier, Agnès","380242",80,NA,NA,"3887","European Pollen Database","pollen",10594,0,"Data contributed by Gauthier Agnès to the EPD.","2983","Aronde",49.4625,2.69111,NA,NA,"Bogs ans little lakes close to Aronde river. Physiography: valley of Aonde. Surrounding vegetation: cultivated fields, forest.",85,"ARONDE",1990-01-01,"close to river Aronde",NA,NA,"Sedidrill 140",29198,NA,"Riverine","Alismataceae",NA,NA,"Europe"
"1721848","Amaranthaceae","3763",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47797,"Penalba, Maria Cristina","407388",300,NA,NA,"3888","European Pollen Database","pollen",NA,NA,"Data contributed by Penalba Maria Cristina to the EPD.","2984","Lago de Arreo",42.78333,-2.98333,NA,NA,"Lake. Physiography: valley of Erbre Rio Ebro. Surrounding vegetation: Quercus forest, agriculture.",650,"ARREO03",NA,"30m out of west lake.",NA,NA,"Russian corer",NA,NA,"Lacustrine","Amaranthaceae",NA,NA,"Europe"
"1787757","Amaranthaceae","16564",-52,"Calibrated radiocarbon years BP",NA,NA,13272,"CAL BP","NISP",43,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",184403,"Filipova-Marinova, Mariana","229999",0,NA,NA,"22923","European Pollen Database","pollen",7899,-52,"Data contributed by M. Filipova-Marinova.","2985","Lake Varna",43.192612,27.815084,NA,NA,"Lake connected with the Black sea. Surrounding vegetation: halophytic vegetation and Phragmites. From Wikipedia: ""Until the 20th century, fresh water from the lake emptied into the Black Sea through the Devnya River, but following the construction of the modern Port of Varna East (and the subsequent draining of the river), a canal was dug through the strip of sand between the sea and the lake between 1906 and 1909, which led to the lake's level dropping by 1.40 m and the incursion of sea water into the lake, which became brackish.""",0,"VARNA3",NA,"northern coast of the lake near the wharf Transstroy area.",6,NA,NA,13271,NA,"Tectonic Origin Lake","Amaranthaceae",NA,NA,"Europe"
"333011","Cichorioideae","3765",9588,"Calibrated radiocarbon years BP",9829,9417,25913,"Giesecke et al. 2014 (MADCAP)","NISP",1,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",47832,"Digerfeldt, Gunnar","358049",848,NA,NA,"3890","European Pollen Database","pollen",12748,9417,"Data contributed by Digerfeldt Gunnar.","2986","Åsbotorpsjön",58.40981,13.81996,NA,NA,"Small lake.",280,"ASBOTOR",1976-01-01,NA,4,NA,"Livingstone 10 cm diameter.",25912,NA,"Glacial Origin Lake","Asteraceae",NA,NA,"Europe"
"1718350","Amaranthaceae","3766",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",47872,"Liedberg Jönsson, Bodil","402917",477.5,NA,NA,"3891","European Pollen Database","pollen",NA,NA,"Data contributed by Svante Björck.","2987","Atteköps Mosse",56.38333,12.88333,NA,NA,"Very small bog. Physiography: on a bedrock ridge ""Horst"". Surrounding vegetation: mixed forest with spruce and birch.",185,"ATTEKOP",1981-05-01,NA,NA,NA,"Livingstone 10 cm diameter.",NA,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"7170857","Chenopodium","3767",139,"Calibrated radiocarbon years BP",234,47,27891,"Giesecke et al. 2014 (MADCAP)","NISP",4,NA,"pollen",5070,NA,"Vascular plants","pollen","UPHE",47894,"De Valk, Everardus Jacobus","374116",12,NA,NA,"3892","European Pollen Database","pollen",14456,185,"Data contributed by De Valk E. J to the EPD.","2988","Altenweiher",48.01333,6.99444,NA,NA,"Lake sediment with Alnus peat on top. Physiography: cirque lake. Surrounding vegetation: montane forest.",926,"ATW",1974-01-01,"Greatest depth near dam",13.2,NA,"Dachnowski sampler 6 cm diameter.",27890,NA,"Artificial Lake","Amaranthaceae","Chenopodium",NA,"Europe"
"4832155","Ericales","40832",NA,NA,NA,NA,NA,NA,"NISP",8,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",460081,"NA","585657",2871,NA,NA,"56774","European Pollen Database","pollen",NA,NA,NA,"29884","Noordzee Fugro L7-4",53.55889,4.13167,NA,"Data have also been mentioned in a report by the Rijks Geologische Dienst (RGD, rapport P. 769)","A core in the Dutch part of the North Sea as a part of a larger study on the Eemian deposits in that area. ",-32,"FUL7-4",NA,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
"4832028","Ericales","40833",NA,NA,NA,NA,NA,NA,"NISP",12,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",460100,"NA","585672",1270,NA,NA,"56775","European Pollen Database","pollen",NA,NA,NA,"29885","Noordzee Fugro K17-4",53.12861,3.44028,NA,"Data have also been mentioned in unpublished report by the Rijks Geologische Dienst (RGD, rapport P. 529 & 769).","Part of a larger study on the reconstruction of the Eemain sea-level in the North Sea and The Netherlands. ",-26,"FUK17-2",1968-06-01,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
"4832703","Ericales","40834",NA,NA,NA,NA,NA,NA,"NISP",19,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",460114,"NA","585693",1210,NA,NA,"56776","European Pollen Database","pollen",NA,NA,NA,"29886","Noordzee Fugro K14-2",53.00139,3.55778,NA,"Data have also been mentioned in an unpublished report by the Rijks Geologische Dienst (RGD, report P. 769 & 587)","Part of a larger study on the Eemian sea level of the Dutch North Sea and The Netherlands.",-28,"FUK14-2",NA,NA,NA,NA,"Unknown",NA,NA,"Marine",NA,NA,NA,"Europe"
